User,LP Balance,is_contract,contract_type,events,withdrawn_eth,withdrawn_aleth,eth_to_redeem,aleth_to_redeem
0x77fb352A851FAa6A1a3AEBAf70E10de6Af50962B,3100155670394877600,False,,[],0,0,1.0546489266094077e+18,2.05282834464923e+18
0x94dA015A898C2cC4DB84F4C6897f5B35b092CD37,2997981254067531505,False,,[],0,0,1.0198899822326394e+18,1.9851715685919002e+18
0x0C19A07242755b3F107cfB4C74d236a18548541F,2997236905892184273,False,,[],0,0,1.0196367607535858e+18,1.9846786839773524e+18
0xAC87234B21240CdA556bc4EE81eFd9E370fA1696,2621914459952952908,False,,[],0,0,8.919549741509766e+17,1.7361516300733158e+18
0x2330eB2d92167c3b6B22690c03b508E0CA532980,2269622699669572864,False,,[],0,0,7.721080482742252e+17,1.5028747923963295e+18
0xD38beB126F7ABd25fDbA3B2Ef4eE07a113EE83FE,2230631653197278218,False,,[],0,0,7.58843596523599e+17,1.477056112982832e+18
0xB9E8C62F360897EA8648FC6f4d98EdDC71D7A8F9,2005983216909612617,False,,[],0,0,6.824199399769939e+17,1.3283007836952205e+18
0x8a7F162dAaC546997cc36B6B7C528A21800507B9,2004121024442725703,False,,[],0,0,6.817864365355063e+17,1.3270676967519667e+18
0x035Fc3B0ec2487c1c9dEF561F578ec77a06B1b12,1998651777967671074,False,,[],0,0,6.799258412823835e+17,1.323446128875527e+18
0x25Bb02dC1FFA8d7F7725484D824EaC95902a34Fe,1597325204920054416,False,,[],0,0,5.4339765222193254e+17,1.0576999366824911e+18
0x93A62dA5a14C80f265DAbC077fCEE437B1a0Efde,1476995078189683968,True,,[],0,0,5.385893801314369e+17,1.0483408438250339e+18
0x19C29401044097D450D25038a45898A57a7CeA6E,982078559170821760,False,,[],0,0,3.581170243793179e+17,6.970592391448658e+17
0x0F51bDF7Af73eBA84ba964299dF4c16043224F3E,899447411978492929,False,,[],0,0,3.059850370236087e+17,5.955865892359076e+17
0x31896bA604b9110F747654fe5Eb0992882Cd73Ad,725777723149668425,False,,[],0,0,2.469039551743932e+17,4.805878286127638e+17
0x1bc371d79c5D3DaD6a9C2CE7EF7251C3A956527b,501807685476753961,False,,[],0,0,1.707110845775689e+17,3.322817141560816e+17
0x41267Fe98489fb8437dd2Eddf4484FbA140ffDfc,305468507123172356,True,,[],0,0,1.0391801812629526e+17,2.0227191034579914e+17
0x5736d2bDc9483D5B4C654FDF7aecEeE6c5959C92,300006852097606394,False,,[],0,0,1.0206000542543941e+17,1.986553692952171e+17
0xde9E6fb9Dc88e8EB25cAeb85972FAF842e171431,145463144812290496,False,,[],0,0,5.1231179138316216e+16,9.971926582530664e+16
0x4216C2Fc321dcE8DE1eB46F4DA0bE3287117cF25,112262271222232050,False,,[],0,0,3.819075441078755e+16,7.433664528541034e+16
0xEDe59767894B49f2a1C9fB6c309362C693F24EA1,89845803979381118,False,,[],0,0,3.0564846027600984e+16,5.94931457210275e+16
0x83fed4e58eF6bdfd71A570ea588b4170ac7a8566,73714903092639104,False,,[],0,0,2.5077238592946492e+16,4.8811756111707144e+16
0x01AA31Ae8998f71a91d32105DBcDade03E1A7Bb1,60184269625730226,False,,[],0,0,2.047422197720244e+16,3.985218412402303e+16
0xaBb8B277F49de499b902A1E09A2aCA727595b544,50032069193738611,True,,[],0,0,1.7020522090267488e+16,3.3129707247660884e+16
0xCf1bF07792B2c42C6D40a54Be79F669F318deB34,49954503589904405,False,,[],0,0,1.699413487313296e+16,3.3078345675194948e+16
0x7248Ebb55470dF1a1B6af7073a5067C63c32e0CB,15182940001531280,False,,[],0,0,5165118490114534.0,1.0053678880674422e+16
0xc5C5D181a08e4F127ADA2d3BE2636e206D7aAf24,10321396302705360,True,,[],0,0,3511259010542525.5,6834513211348684.0
0x3222D0Ab7626f4F9Bc9f1070CE1dE322B481bDA5,10080325020815709,True,,[],0,0,3429248429232299.5,6674883175583102.0
0xB0493ED6E24B7831D4D6202132137d2d949BfE2c,10065246943878721,False,,[],0,0,3424118984343842.5,6664898933819170.0
0x74644035faf6F293a7264FD77aBeE278d1805386,10026350337633230,False,,[],0,0,3410886660426273.0,6639142789837784.0
0x1244a19E20ede3ABd2956760F072662Fc7df0dcA,9997975259886270,False,,[],0,0,3401233678940837.5,6620353680491812.0
0x6ab615CF8deCFc488186E54066Fc10589C9293A3,9993468235315439,False,,[],0,0,3399700424120371.5,6617369266554993.0
0x982F264ce97365864181df65dF4931C593A515ad,7255883231070131,False,,[],0,0,2555475162436131.5,4974121449458260.0
0x52f541764E6e90eeBc5c21Ff570De0e2D63766B6,6699362732461771,True,stakedao,[],0,0,2279071268010848.0,4436113269928963.5
0xe3933a68C04A685A6088b207E226482f23d13cA0,5033865356512621,False,,[],0,0,1712481971676634.5,3333271804922195.0
0xA770A33CBf2e97A0eAED41AfaBddB997661CC24a,5000000000000000,False,,[],0,0,1700961239915854.5,3310847200759686.5
0x40F404FE6C091b951576ECC7bCcE5ECd56c985f7,4026353481104309,False,,[],0,0,1369734241911740.5,2666128230436644.5
0x2Cd3211B1D36FEc5d7B62Eb36a93380727385133,3825675149672006,False,,[],0,0,1301465029220273.5,2533245172061491.5
0x7F429edeff8afC7Bb3A2CF7DB832Fc86f6FA99DA,3221550337094734,False,,[],0,0,1095946451167199.5,2133212183135304.8
0xBdc505B178e600fF119A648449B7d258AE98ec76,3066846805838086,False,,[],0,0,1118332176258127.2,2176785025076100.8
0xe85a04Cc499d97826254d76CbB97fFc150f0a44C,3050524721021410,False,,[],0,0,1037764862372508.6,2019964246688392.0
0x8C270f234cdCBd30D281799b584Db3d0789E1317,3037708403546918,False,,[],0,0,1033404850519995.2,2011477672921498.0
0x33104A01d2D186FA043EfF6839296f9a7a7ee431,3018726550644010,False,,[],0,0,1026947371310069.1,1998908470011733.0
0x7A4c6e32C31a56bdd78DE86970180D8A0D613F57,3000748034946418,False,,[],0,0,1020831219639504.5,1987003646337495.8
0x8DCdb2Db0268Cde7B5c55492ef31E4fA3D187ac8,2112834021961541,False,,[],0,0,718769755546420.9,1399054121456239.8
0x63c4222a3E8CD2cdCe3Cc0Ec2Db20BfCD8451985,2018912521278271,False,,[],0,0,686818389095026.4,1336862173930569.0
0x887f9c24363b19A97baC67F8B35DFbE1d91bF16a,2008929392329116,False,,[],0,0,683422206015907.4,1330251651023342.5
0x5fa18F60c6e4a08493ABd3A4da7B02E20B0Cb2F9,2008585280142387,False,,[],0,0,683305141717545.6,1330023790449306.8
0xE28970C7c73b4C2ef8BC15238b8b44AD40CEbF3D,1514163676852825,False,,[],0,0,515106745043026.06,1002632914200034.0
0x9387FdD19F66865d5265b41cF3DB95db243E8888,1507337735836412,False,,[],0,0,512784612824052.0,998112984658685.8
0x93CE565DAe4b644403DCf5A2CE1b5d00ae5d6B97,1409133982714516,False,,[],0,0,479376457289129.9,933085460433140.9
0xdFd8AbA3aF398D754a402181657dF5CCFC7E0544,1338681590878093,False,,[],0,0,455409099734505.94,886434039573451.6
0xC56a6c92240E4D346E30277Ac0dc6E4D6E1C0a45,1307979885515738,False,,[],0,0,444964617570369.4,866104308521951.4
0xB0FEcff8Ab2b45778Cc022f7f0f98D0A2B0133a0,1249470020088907,False,,[],0,0,425060014921622.94,827360863688901.5
0xA4a4Bc5B32EE23c74c7F638F93e436ea324FCb7D,1219375049570875,False,,[],0,0,414821939248106.4,807432893909587.1
0x2c2d88aa9F4e965993988811381150F57e52F05A,1179429231467596,False,,[],0,0,401232681590025.06,780981993899727.8
0xB3384DfD46FeFdF209d2C896D3e06e584B304c2E,1103894637150805,False,,[],0,0,375536398148899.1,730965293868874.6
0x9F902E72BD7e58270E5c05349A0681Fb89c71cFA,1022316942870728,False,,[],0,0,347784298946475.8,676947037718550.1
0x011951b5341e0C9873334f7eE24796d8E0Becb6f,1021772305856800,False,,[],0,0,347599017656372.8,676586395731951.4
0x163D1A5708e536605E7B7b4B3b46a95dbf517800,1019181208411189,False,,[],0,0,346717546391607.0,674870650187012.0
0x544a40955bA1C7e56E161a59E1319e3313C25251,1019181189358001,False,,[],0,0,346717539909860.1,674870637570573.1
0x7075F5B527a8786799aB8165F4780e27Bc4844C2,1018901397112236,False,,[],0,0,346622356756805.06,674685367695836.1
0xF916719c7251e109Cf3D1a977B6CAD198b630C32,1018901385671326,False,,[],0,0,346622352864696.2,674685360120015.1
0xDDF9db63F6f145df73E16F6bE12E8d7913Cf69C8,1018781406318819,False,,[],0,0,346581536819055.25,674605913459335.8
0x7f3c703cBcd18acf9B2D85BC4b59a770d2307Ae6,1018723176028821,False,,[],0,0,346561727325800.1,674567355140807.9
0xf85ceCcFe2112E88be58162C43f5Ec959672AB54,1016778274855733,False,,[],0,0,345900087023622.2,673279501019873.4
0x9B62A7eD23E6e2822EE8045694ef0dB9eb099CC7,1016508843966143,False,,[],0,0,345808428723616.5,673101092118554.0
0xFA9d5DB5E803c09327DDf7d28102Cb6790e9f4e9,1016210157913594,False,,[],0,0,345706818043958.6,672903311342356.4
0x18650583D5bAfb28C0eD36f9e6350873eD92edfA,1015998541443025,False,,[],0,0,345634827761125.5,672763185382512.8
0xF337B14dA207429eeF360164C150Ed1773f2a386,1012447266755987,False,,[],0,0,344426711642136.3,670411639811171.1
0x945294C67752BD0A453975c04e3078c487a858df,1012382077075156,False,,[],0,0,344404534618069.06,670368473196711.5
0xBE2800C4DeaD2c7C361Ec51BA6D6a384afEFE224,1012332483344720,False,,[],0,0,344387663215426.2,670335633743993.6
0xd4FA2185bC32F28Ae27215b4b769f387DBA53F59,1009935246901702,False,,[],0,0,343572141960928.7,668748257030608.6
0x05612170a8D3a88A515121893f1083EaD5B75a04,1009823247975275,False,,[],0,0,343534040794375.8,668674094764198.9
0xD1bA9FA36bdF2a84E788F72d69b5EEf2464aF9F2,1009468795899959,False,,[],0,0,343413458946071.75,668439387431926.1
0xFfb8C9ec9951B1d22AE0676A8965de43412CeB7d,1009468791102069,False,,[],0,0,343413457313866.75,668439384254910.0
0x574b7EEf141fEDA2DA9E9e16028CBf61eB506Ca2,1009456071278670,False,,[],0,0,343409130128550.75,668430961576571.1
0xcE83b2D37d19183D66427F5d72E0A7508197945b,1009442446682529,False,,[],0,0,343404495146561.6,668421939785372.1
0x3BC78C5FB49F5A50aED564DABea2512B0fAd37E6,1009433247635248,False,,[],0,0,343401365701987.8,668415848457384.1
0x24878Dc8aedEAF05c7097bBFe65a97c2fC13d15e,1008444594072584,False,,[],0,0,343065033424028.56,667761192281290.6
0x7a0dff2a955B72159650300a9aCeF97146dd12e6,1007727843568004,False,,[],0,0,342821200458632.44,667286582000944.2
0x317aE3371f777ADeDaAdE238B832311807f5Ca26,1007701578109261,False,,[],0,0,342812265153178.4,667269189816833.1
0xF2c09EaFd10A8609658Ce287EEaF72095Ae2062B,1007605974047418,False,,[],0,0,342779741392463.7,667205883728726.2
0xF255F0f4143A5Af7A39141919D80B3E810E02d4C,1007595663642600,False,,[],0,0,342776233872671.0,667199056493740.2
0x8Ce01CF638681e12AFfD10e2feb1E7E3C50b7509,1007527864462851,False,,[],0,0,342753169117300.8,667154161948843.0
0x7988A7092c88C703cF2950ce8f85382fEd31CE5B,1006800250413749,False,,[],0,0,342505640458272.6,666672358161302.5
0xEAcF16b7757A9f56AEd5C4C187016B920901033E,1006537729649994,False,,[],0,0,342416332929508.56,666498524934138.6
0xE7421007249799725daaf97014f9c05F8d5E858d,1006520741633278,False,,[],0,0,342410553737913.2,666487275988620.5
0xdef5c77905B6F47ba9371db98308eD95AFB5f863,1006351266163854,False,,[],0,0,342352899496991.8,666375054511912.5
0xDb8c9f8b07f62D8e33C966196546d3CF0f5d9Bd9,1006242179445317,False,,[],0,0,342315789040987.6,666302820620570.9
0x63fdB65CcA5A9E66b7F8d925758cb935281b0Ad2,1006231169557644,False,,[],0,0,342312043562550.1,666295530209414.2
0xF0F76D69382191f08cD2f7D77C3D05deF740a3c9,1006209329750272,False,,[],0,0,342304613829384.7,666281068556393.8
0x45faD3d36fA506e7F955711D6D0Dc94a5be8F4B6,1006208829318873,False,,[],0,0,342304443586502.1,666280737186014.4
0x1d06e5ff1510c1E25B9603AbDdcd2D872468267C,1006111450034522,False,,[],0,0,342271315908851.75,666216255599813.4
0x03853B09108931C5C8Ff9b1a7DE689e7E76e7711,1006111444915677,False,,[],0,0,342271314167460.4,666216252210270.6
0xCDa53E2D0f0693430b239eceB3968C46c5119Dd4,1006111441775116,False,,[],0,0,342271313099065.9,666216250130687.0
0x18dd0a35977F88E7aDaDE2682e3D9A585Ad3B87D,1005434917730671,False,,[],0,0,342041164863571.44,665768276582927.6
0x262BF24eC8D163af884f7FF4c1b9cBfaB38B5bb9,1005122579059487,False,,[],0,0,341934909668889.25,665561455459891.9
0x68faf54c53899957fCD0291d2A2C5EE9a343A4A3,1004936415541190,False,,[],0,0,341871578283107.4,665438183667204.5
0x9CF7aDeB14c2884a37546De3F15cBdD832D4E05D,1004921043854673,False,,[],0,0,341866348954515.9,665428005006149.2
0x51A37A5DCAd4E7884eA251484e09fF9906db1035,1004921013215285,False,,[],0,0,341866338531233.56,665427984717682.9
0xce430a8F1382E7A6156064779515d36a2C5101aF,1004464702348651,False,,[],0,0,341711105111734.2,665125829606588.6
0x30ddDDe80843855eA3d7570C11A5c993365E5b20,1004464701017771,False,,[],0,0,341711104658979.1,665125828725320.5
0x176b032C37544f16ec8555a1e6A63454449EDF77,1004464699686908,False,,[],0,0,341711104206229.9,665125827844063.8
0x4890ae58845CEE70b04f7b54dD2d4BbFd8b697D4,1004464698162979,False,,[],0,0,341711103687801.06,665125826834964.5
0x779205F1618634000E48c583B5fD8C96D0f8C309,1004450685329386,False,,[],0,0,341706336630440.44,665116547964789.4
0x8FcFc4d481555D9b99b114E6EF237AD1ebdc222E,1004450684002385,False,,[],0,0,341706336179005.0,665116547086089.8
0xB18BC3fC909351C7E8916a5f9c75942156fC1B7b,1004357352092056,False,,[],0,0,341674585386621.56,665054745547279.0
0xaa8BDB60eE28E7616Bfe4867f58BfE4EDF858271,1004069068865972,False,,[],0,0,341576513667884.25,664863853204857.8
0x06b20B82D9c8C0Ea60D1cC47FAd3f560329BBa21,1003615757885590,False,,[],0,0,341422300786432.6,664563684526763.4
0x79d1AFC625a0B6b6944a49851f29e520A17C1331,1003592432479819,False,,[],0,0,341414365664208.25,664548239155882.6
0x174FE560F3d26AEB40A15fF3b90537a1A778b783,1003540580813518,False,,[],0,0,341396726129287.6,664513904567037.2
0x6Ce10eFa053fA3FaD0Cd6C355a337E8338796567,1003540577643038,False,,[],0,0,341396725050714.94,664513902467642.2
0x2cAf293D8EDC0891b0410d46216AEf2009355A8b,1002360401827787,False,,[],0,0,340995238387109.3,663732426108776.6
0xc0B54011af8591ac7F9DBC635Ce3660b5db903A7,1002360400641609,False,,[],0,0,340995237983580.75,663732425323325.9
0xAD1b4891a9A73829d8eC8b188EAA7Dd33f5c9dE7,1001076855887746,False,,[],0,0,340558586008377.1,662882501212250.4
0xB290f2F3FAd4E540D0550985951Cdad2711ac34A,1001039928172660,False,,[],0,0,340546023485969.1,662858048807825.9
0x40F404FE6C091b951576ECC7bCcE5ECd56c985f7,999999999999999,False,,[],0,0,364652115693961.5,709779510646682.8
0x6f6f4d8505623AFAf21Caf9daF80B082602947BD,963331697781716,False,,[],0,0,327717975821806.56,637888811000734.2
0x5f222918741500fABf6EED0bb16841d028d6d350,956222254560742,False,,[],0,0,325299398350554.7,633181154963309.9
0xfC09a127b94153Df7924F3df757BA484BB02B903,922237724100855,False,,[],0,0,313738124536753.2,610677637454860.0
0x304c161c3A71FbE5867022648fBc7d9aA994A02d,908815697906256,False,,[],0,0,309172055273123.56,601789981883877.8
0x9124554Cbfe5ec995DeC1d7437fea8dFf50e5CCC,906128766306634,False,,[],0,0,308257981972071.1,600010777890829.5
0x87AD3E74a9d79DE2D6333E096f42A5f5c6073775,885280808849987,False,,[],0,0,301165668459036.9,586205897573450.1
0x7Ebbe8c7A628849F4305780177a0a6cf69B6362C,867318357745206,False,,[],0,0,295054981838413.6,574311711381640.8
0x2702811b54ad6F58BAdBEb17007a1303a21Af45F,822033570343264,False,,[],0,0,279649448212707.0,544325509060297.3
0x40a3C1c8530fF6C77A2986d56a7f3c2a17f03eCb,815386870838131,False,,[],0,0,277388292566387.2,539924267770125.25
0xC8723b6a1673bBd73ED7D1C4aAaaC7441E59A979,809849958180583,False,,[],0,0,275504677802529.47,536257893415506.5
0x9B3170698A1DCca963C7d36E0B9496b915a7471c,809785022801974,False,,[],0,0,275482587290106.8,536214895192206.94
0x0E861F1D1A0D4fdC90FE18CAcae65bB750105dBc,806077139331481,False,,[],0,0,274221194077020.16,533759648070402.0
0xD95345A1b3489Eb586cBaC242c3eAd57ecf368e1,804967469264103,False,,[],0,0,273843692922279.22,533024858463132.94
0xc61c2F6769dad4B5A99FA13CEad5e007739b85F1,770656470810429,False,,[],0,0,262171357227776.75,510305163826009.6
0xE3369C94757681f339D032Ec66Aa2aC59E9A7c26,715405484515214,False,,[],0,0,243375399996720.2,473719649163064.75
0x125EaE40D9898610C926bb5fcEE9529D9ac885aF,715213675823986,False,,[],0,0,243310148166868.62,473592639309378.0
0x0b45e2ab5b3846ecF56e652c5CB40039797C07A2,711853047988724,False,,[],0,0,242166888628956.03,471367334257143.56
0x7179eD411c63ea4BA21568142E57f6cDa4568E12,708616986166401,False,,[],0,0,241066005483007.47,469224513011958.9
0x3e6b87FF2168d15794A865D09A6716415e7DbeCf,663897481323371,False,,[],0,0,225852776601762.78,439612623526177.9
0x9234A405B420A746eAA6631F80C8Df3c86629505,631129516303147,False,,[],0,0,214705368919698.88,417914678473817.9
0xBDa9A3C241053BdC27423e6ceee83Ba0e26Bace2,603875687484446,False,,[],0,0,205433827627716.47,399868025902941.9
0xc77704F8ff4b11a827d9AE0ef9a6DF5271F7a956,562045388768728,False,,[],0,0,191203484273808.8,372169280420966.6
